Index,appnumber,encrypting,renaiming,rebuilding,Strings Global number,Unicode number ,URL Number ,Affectation number ,Balise number ,Special strings number ,Call number,Class number ,Other Type String Number ,Permission number ,Number of Dangerous permission ,Number of sginature permission ,Other Permission number ,Services number ,Providers number ,Android API ,Dex number ,SystemArgs ,Custom Argument,Average size of class ,Intern attribute ,Extern attribute,Weighted Method per class ,Reponse for class ,Number of child ,Argument Type number ,Receivers Numbers ,Type
0,SMS_944,1,1,0,776,0,0,15,3,0,0,0,0,4,3,0,1,1,0,0,0,0,0,111.25,0,0,10.994741454864155,21.98948290972831,-0.978965819456617,125,4,1
1,Riskware_2849,1,1,0,123,0,0,0,1,0,0,0,0,38,10,2,26,15,0,0,0,0,0,4.0,0,0,24.815461346633416,49.63092269326683,-1.0,44,1,2
2,Riskware_4040,1,1,0,26772,1,97,1479,9,9,71,82,0,39,10,3,26,19,1,0,0,0,0,64.3170731707317,0,0,25.79032258064516,51.58064516129032,-1.0,6043,4,2
3,SMS_450,1,1,0,722,0,0,3,2,0,0,0,0,19,6,2,11,1,0,0,0,0,0,5.1,0,0,10.51676698194325,21.0335339638865,-0.8168529664660361,289,8,1
4,SMS_1936,1,1,0,776,0,0,15,3,0,0,0,0,4,3,0,1,1,0,0,0,0,0,138.25,0,0,11.505050505050505,23.01010101010101,-0.9621212121212122,125,1,1
5,Banking_1397,1,1,0,381,0,0,0,2,0,0,0,0,19,9,0,10,2,0,0,0,0,0,5.0,0,0,19.092775041050903,38.185550082101805,-0.9852216748768473,24,1,4
6,Banking_1680,1,1,0,736,0,0,64,2,0,0,0,0,21,13,1,7,6,0,0,0,0,0,106.53846153846153,0,0,18.570638511814984,37.14127702362997,-0.9034690799396682,162,1,4
7,Riskware_2239,0,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,16,0,0,0,0,0,4.0,0,0,21.51505376344086,43.03010752688172,-0.9881720430107527,353,1,2
8,Adware_225,1,1,0,4044,0,36,72,9,3,0,0,0,11,4,0,7,1,0,0,0,0,0,113.87878787878788,0,0,16.94187675070028,33.88375350140056,-0.5336134453781513,539,,3
9,Riskware_2678,1,1,0,19,0,0,0,2,0,0,0,0,14,3,1,10,1,0,0,0,0,0,120.0,0,0,21.588118811881188,43.176237623762376,-1.0,609,1,2
10,SMS_1670,1,1,0,573,0,2,0,1,0,0,17,0,9,4,0,5,2,0,0,0,0,0,76.33333333333333,0,0,10.753086419753087,21.506172839506174,-0.9012345679012346,64,1,1
11,Riskware_380,1,1,0,5060,0,1,111,7,0,16,0,0,15,4,0,11,5,0,0,0,0,0,174.23333333333332,0,0,24.1937984496124,48.3875968992248,-1.0,1445,1,2
12,Adware_762,1,1,0,2204,0,22,33,2,1,0,1,0,7,2,0,5,1,0,0,0,0,0,310.94444444444446,0,0,18.248576850094878,36.497153700189756,-0.9848197343453511,255,,3
13,Riskware_2431,1,1,0,18878,7,25,672,5,5,18,19,0,21,10,1,10,7,1,0,0,0,0,19.025641025641026,0,0,20.81217616580311,41.62435233160622,-1.0,3391,1,2
14,SMS_607,1,1,0,1391,0,0,13,2,0,0,0,0,15,7,1,7,2,0,0,0,0,0,29.23076923076923,0,0,11.248382923673997,22.496765847347994,-0.9055627425614489,266,6,1
15,SMS_3905,1,1,0,591,0,0,1,2,0,1,23,0,7,3,0,4,1,0,0,0,0,0,58.4,0,0,11.236464968152866,22.472929936305732,-0.9657643312101911,98,8,1
16,SMS_2276,1,1,0,843,0,0,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,42.875,0,0,10.976833976833976,21.953667953667953,-0.9235521235521236,202,1,1
17,Adware_1110,1,1,0,375,0,0,0,2,0,0,0,0,5,2,0,3,0,0,0,0,0,0,5.0,0,0,15.447887323943663,30.895774647887325,-0.9943661971830986,54,,3
18,Riskware_2693,1,1,0,10124,1,54,933,6,7,53,42,0,35,12,2,21,8,0,0,0,0,0,8.733333333333333,0,0,23.188034188034187,46.376068376068375,-1.0,1724,1,2
19,Riskware_4281,1,1,0,38715,0,74,1164,11,6,46,43,0,51,11,2,38,14,4,0,0,0,0,65.42857142857143,0,0,24.797927461139896,49.59585492227979,-0.7979274611398963,9179,1,2
20,SMS_2176,1,1,0,773,0,0,107,2,0,0,0,0,13,6,1,6,0,0,0,0,0,0,9.714285714285714,0,0,11.279888785912883,22.559777571825766,-0.7757182576459685,376,1,1
21,SMS_4305,1,1,0,827,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,45.142857142857146,0,0,11.096938775510203,22.193877551020407,-0.9153061224489796,200,8,1
22,SMS_2084,1,1,0,744,0,0,0,3,0,0,0,0,26,7,2,17,1,0,0,0,0,0,14.454545454545455,0,0,11.142555438225976,22.285110876451952,-0.839493136219641,271,1,1
23,Riskware_2701,1,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,16,0,0,0,0,0,4.0,0,0,24.434343434343436,48.86868686868687,-1.0,353,1,2
24,Adware_1266,1,1,0,2129,0,28,37,2,1,6,25,0,8,3,0,5,1,0,0,0,0,0,185.86363636363637,0,0,15.2527392257122,30.5054784514244,-0.8035062089116143,213,,3
25,SMS_3707,1,1,0,769,0,0,1,2,0,0,0,0,10,5,1,4,0,0,0,0,0,0,45.142857142857146,0,0,10.966812227074236,21.93362445414847,-0.9240174672489083,185,1,1
26,Riskware_531,1,1,0,10071,0,2,130,2,0,13,0,0,9,5,1,3,1,0,0,0,0,0,236.80769230769232,0,0,21.300492610837438,42.600985221674875,-1.0,1755,1,2
27,SMS_3607,1,1,0,573,0,2,0,1,0,0,17,0,9,4,0,5,2,0,0,0,0,0,6.5,0,0,10.613851992409867,21.227703984819733,-0.9411764705882353,64,1,1
28,SMS_4280,1,1,0,776,0,0,15,3,0,0,0,0,4,3,0,1,1,0,0,0,0,0,111.25,0,0,12.06679511881824,24.13359023763648,-0.962106615285806,125,8,1
29,SMS_2959,1,1,0,663,0,0,7,2,0,0,0,0,19,6,2,11,1,0,0,0,0,0,43.142857142857146,0,0,12.484375,24.96875,-0.9583333333333334,131,1,1
30,Riskware_4217,1,1,0,121,0,0,0,1,0,0,0,0,39,12,2,25,16,0,0,0,0,0,4.0,0,0,19.642857142857142,39.285714285714285,-1.0,170,1,2
31,SMS_112,1,1,0,697,0,0,1,2,0,0,0,0,14,6,1,7,1,0,0,0,0,0,49.333333333333336,0,0,14.801608579088471,29.603217158176943,-0.9450402144772118,78,1,1
32,SMS_4665,1,1,0,573,0,2,0,1,0,0,0,0,9,4,0,5,2,0,0,0,0,0,94.33333333333333,0,0,11.568034557235421,23.136069114470843,-0.9654427645788337,64,8,1
33,SMS_459,1,1,0,775,0,0,7,2,0,0,0,0,13,6,1,6,1,0,0,0,0,0,11.071428571428571,0,0,11.112471308339709,22.224942616679417,-0.8630451415455241,363,8,1
34,SMS_1617,1,1,0,842,0,2,4,2,0,0,0,0,9,5,0,4,1,0,0,0,0,0,40.5,0,0,11.171532846715328,22.343065693430656,-0.864963503649635,210,1,1
35,Riskware_3010,1,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,16,0,0,0,0,0,4.0,0,0,20.99048913043478,41.98097826086956,-1.0,353,1,2
36,SMS_2258,1,1,0,592,0,0,1,2,0,1,23,0,7,3,0,4,1,0,0,0,0,0,94.66666666666667,0,0,11.04422032583398,22.08844065166796,-0.9627618308766486,98,1,1
37,Riskware_3532,1,1,0,121,0,0,0,1,0,0,0,0,42,13,2,27,15,0,0,0,0,0,4.0,0,0,21.953800298062593,43.907600596125185,-1.0,353,1,2
38,Adware_128,1,1,0,9474,0,32,102,21,2,3,98,0,7,4,0,3,0,0,0,0,0,0,135.46428571428572,0,0,17.084362139917694,34.16872427983539,-0.24005486968449932,1701,,3
39,Riskware_528,1,1,0,2282,0,1,103,4,2,11,0,0,5,4,0,1,0,0,0,0,0,0,102.57692307692308,0,0,21.248764415156508,42.497528830313016,-1.0,209,1,2
